Timestamp,Chanel,A_AC,A_DC,Cos_PHI_AC,Cos_PHI_DC,Freq,PF_AC,PF_DC,P_AC,P_DC,V_AC,V_DC
2023-02-24T05:14:50.177Z,5,0,0,0,0,0,0,0,0,0,0,0
2023-02-24T05:15:06.196Z,1,0,0,0,0,0,0,0,0,0,0,0
